Car_Name,devaluation_ratio
TVS Sport ,-0.006666666666666672
Bajaj Avenger 150,-0.00714285714285715
Hero Passion X pro,-0.00714285714285715
Honda Activa 4G,-0.007500000000000002
Yamaha FZ 16,-0.008749999999999994
Honda Dream Yuga ,-0.010000000000000009
Hero Splender iSmart,-0.01517857142857143
Hero Passion Pro,-0.016517857142857147
Royal Enfield Bullet 350,-0.017142857142857126
Bajaj  ct 100,-0.0175
Activa 3g,-0.018095238095238095
Activa 4g,-0.01833333333333333
TVS Jupyter,-0.018888888888888893
Hero Honda Passion Pro,-0.019090909090909092
Bajaj Discover 100,-0.019999999999999997
UM Renegade Mojave,-0.020000000000000018
Hero Extreme,-0.02001666666666667
Hero Super Splendor,-0.020555555555555553
TVS Wego,-0.02076923076923077
Suzuki Access 125,-0.022
Honda CB Hornet 160R,-0.023412698412698413
Bajaj Avenger 220,-0.024841269841269834
Bajaj Dominar 400,-0.025000000000000022
Hero Splender Plus,-0.025714285714285714
Honda CB twister,-0.02646153846153846
Bajaj Pulsar 135 LS,-0.026666666666666665
Honda CB Shine,-0.028374999999999997
Bajaj Avenger 150 street,-0.02857142857142858
TVS Apache RTR 160,-0.029696969696969704
Bajaj Pulsar 150,-0.029871323529411763
Bajaj Pulsar RS200,-0.029999999999999995
Yamaha FZ S V 2.0,-0.030416666666666658
Honda CB Trigger,-0.031
Honda Activa 125,-0.031428571428571424
Hero Glamour,-0.031999999999999994
Yamaha FZ  v 2.0,-0.03214285714285714
Hero Honda CBZ extreme,-0.03391666666666667
Bajaj Discover 125,-0.03431818181818182
Hero Hunk,-0.034375
TVS Apache RTR 180,-0.03447222222222222
Mahindra Mojo XT300,-0.03571428571428571
Royal Enfield Thunder 350,-0.038839285714285715
Yamaha FZ S ,-0.039090909090909086
Hero  CBZ Xtreme,-0.03913333333333333
Royal Enfield Classic 350,-0.04003571428571428
Bajaj Avenger 220 dtsi,-0.041105769230769224
Bajaj Avenger Street 220,-0.041666666666666664
Yamaha Fazer ,-0.042222222222222223
Honda CB Unicorn,-0.042499999999999996
Bajaj Pulsar  NS 200,-0.043333333333333335
Hero  Ignitor Disc,-0.045
Bajaj Pulsar 220 F,-0.046868131868131865
Bajaj Pulsar NS 200,-0.04754545454545455
KTM RC200,-0.05226190476190477
Honda Karizma,-0.05762820512820513
Honda CBR 150,-0.06055555555555555
Royal Enfield Classic 500,-0.06672077922077922
Royal Enfield Thunder 500,-0.06880952380952379
grand i10,-0.0922544642857143
800,-0.09649999999999999
vitara brezza,-0.11600000000000002
alto 800,-0.125
KTM RC390,-0.1275
i10,-0.12977272727272723
omni,-0.1309090909090909
ignis,-0.13499999999999993
alto k10,-0.137023199023199
KTM 390 Duke ,-0.1388888888888889
wagon r,-0.14722875816993466
brio,-0.15235768398268398
swift,-0.1907888888888889
eon,-0.1962229437229437
Hyosung GT250R,-0.23333333333333334
ritz,-0.23659343434343433
i20,-0.24188612005278667
creta,-0.24315476190476185
s cross,-0.26374999999999993
etios liva,-0.26791666666666664
xcent,-0.27694444444444444
baleno,-0.28857142857142865
jazz,-0.29068550497121926
etios g,-0.2931944444444444
amaze,-0.29791666666666666
ciaz,-0.29799382716049383
dzire,-0.3104811507936508
verna,-0.3273023088023089
sx4,-0.3646
ertiga,-0.36499338624338623
etios gd,-0.38749999999999996
etios cross,-0.39800925925925923
elantra,-0.39874999999999994
innova,-0.45723104056437397
city,-0.478332128216178
corolla,-0.5710526315789474
corolla altis,-0.9039952027139527
fortuner,-1.2482759059122694
land cruiser,-4.43076923076923
